"KNSL","KINSALE CAPITAL GROUP INC","Financials","Equity","110,289,706.64","0.17","110,289,706.64","507,686.00","217.24","United States","NASDAQ","USD","1.00","USD","-"
"NEOG","NEOGEN CORP","Health Care","Equity","110,088,150.69","0.17","110,088,150.69","2,536,009.00","43.41","United States","NASDAQ","USD","1.00","USD","-"
"IRDM","IRIDIUM COMMUNICATIONS INC","Communication","Equity","110,058,841.20","0.17","110,058,841.20","2,756,985.00","39.92","United States","NASDAQ","USD","1.00","USD","-"
"AR","ANTERO RESOURCES CORP","Energy","Equity","110,002,365.12","0.17","110,002,365.12","6,740,341.00","16.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZD","ZIFF DAVIS INC","Communication","Equity","109,159,114.90","0.16","109,159,114.90","1,023,047.00","106.70","United States","NASDAQ","USD","1.00","USD","-"
"MMS","MAXIMUS INC","Information Technology","Equity","109,040,351.28","0.16","109,040,351.28","1,434,364.00","76.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","108,750,291.65","0.16","108,750,291.65","1,039,181.00","104.65","United States","NASDAQ","USD","1.00","USD","-"
"SUM","SUMMIT MATERIALS INC CLASS A","Materials","Equity","108,528,637.88","0.16","108,528,637.88","2,801,462.00","38.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","107,983,107.16","0.16","107,983,107.16","2,131,526.00","50.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADC","AGREE REALTY REIT CORP","Real Estate","Equity","107,581,986.50","0.16","107,581,986.50","1,587,926.00","67.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APPS","DIGITAL TURBINE INC","Information Technology","Equity","107,284,649.30","0.16","107,284,649.30","2,126,554.00","50.45","United States","NASDAQ","USD","1.00","USD","-"
"MSTR","MICROSTRATEGY INC CLASS A","Information Technology","Equity","107,069,082.78","0.16","107,069,082.78","184,481.00","580.38","United States","NASDAQ","USD","1.00","USD","-"
"MUSA","MURPHY USA INC","Consumer Discretionary","Equity","106,803,248.80","0.16","106,803,248.80","567,740.00","188.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HR","HEALTHCARE REALTY TRUST REIT INC","Real Estate","Equity","106,446,513.47","0.16","106,446,513.47","3,419,419.00","31.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RLI","RLI CORP","Financials","Equity","106,080,116.45","0.16","106,080,116.45","950,113.00","111.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APG","API GROUP CORP","Industrials","Equity","105,989,970.45","0.16","105,989,970.45","4,630,405.00","22.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QLYS","QUALYS INC","Information Technology","Equity","105,357,326.74","0.16","105,357,326.74","799,009.00","131.86","United States","NASDAQ","USD","1.00","USD","-"
"ONTO","ONTO INNOVATION INC","Information Technology","Equity","105,190,047.56","0.16","105,190,047.56","1,144,988.00","91.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIOD","DIODES INC","Information Technology","Equity","104,942,380.40","0.16","104,942,380.40","1,020,344.00","102.85","United States","NASDAQ","USD","1.00","USD","-"
"KRG","KITE REALTY GROUP TRUST REIT","Real Estate","Equity","104,893,591.44","0.16","104,893,591.44","5,126,764.00","20.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXLS","EXLSERVICE HOLDINGS INC","Information Technology","Equity","103,087,520.43","0.15","103,087,520.43","776,203.00","132.81","United States","NASDAQ","USD","1.00","USD","-"
"ZWS","ZURN WATER SOLUTIONS CORP","Industrials","Equity","102,208,444.31","0.15","102,208,444.31","2,849,413.00","35.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIG","SIGNET JEWELERS LTD","Consumer Discretionary","Equity","101,941,579.84","0.15","101,941,579.84","1,228,804.00","82.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","101,775,369.15","0.15","101,775,369.15","866,985.00","117.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","101,621,212.25","0.15","101,621,212.25","1,484,605.00","68.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STAA","STAAR SURGICAL","Health Care","Equity","101,549,757.72","0.15","101,549,757.72","1,112,021.00","91.32","United States","NASDAQ","USD","1.00","USD","-"
"TENB","TENABLE HOLDINGS INC","Information Technology","Equity","101,537,816.17","0.15","101,537,816.17","2,136,289.00","47.53","United States","NASDAQ","USD","1.00","USD","-"
"RRC","RANGE RESOURCES CORP","Energy","Equity","101,330,347.38","0.15","101,330,347.38","5,626,338.00","18.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIVN","LIVANOVA PLC","Health Care","Equity","100,786,818.80","0.15","100,786,818.80","1,261,412.00","79.90","United States","NASDAQ","USD","1.00","USD","-"
"CHX","CHAMPIONX CORP","Energy","Equity","100,708,706.79","0.15","100,708,706.79","4,734,777.00","21.27","United States","NASDAQ","USD","1.00","USD","-"
"ADNT","ADIENT PLC","Consumer Discretionary","Equity","100,659,968.76","0.15","100,659,968.76","2,220,114.00","45.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTH","MERITAGE CORP","Consumer Discretionary","Equity","100,500,652.78","0.15","100,500,652.78","873,463.00","115.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","Real Estate","Equity","100,125,486.45","0.15","100,125,486.45","1,258,965.00","79.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SAIL","SAILPOINT TECHNOLOGIES HOLDINGS IN","Information Technology","Equity","99,986,249.76","0.15","99,986,249.76","2,147,471.00","46.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY CORP","Financials","Equity","99,773,852.56","0.15","99,773,852.56","2,054,651.00","48.56","United States","NASDAQ","USD","1.00","USD","-"
